id,name,album,artist,popularity,release_date,duration_ms,explicit,genre
6Qyc6fS4DsZjB2mRW9DsQs,Iris,Dizzy up the Girl,The Goo Goo Dolls,88,1998,289533,False,pop
2mWfVxEo4xZYDaz0v7hYrN,Juna,Charm,Clairo,82,2024-07-12,195109,False,pop
72kGuWpRiuA149Bn5lDkIO,We Ride,Poets & Old Souls,Bryan Martin,80,2023-03-31,188482,True,pop
6GG73Jik4jUlQCkKg9JuGO,The Middle,Bleed American,Jimmy Eat World,82,2001-07-17,165853,False,pop
0wXThIDxO3YRJCpPgnmbkw,Where It Ends,Religiously. The Album.,Bailey Zimmerman,80,2023-01-11,179294,False,pop
1b8Uy52q8fZUBTlRkoXoT5,Housekeeping Knows (feat. Latto),100 GIGS,"Drake, Latto",72,2024-08-10,186692,True,pop
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,87,1985-02-25,251488,False,pop
4S4QJfBGGrC8jRIjJHf1Ka,Pain,to hell with it,PinkPantheress,83,2021-10-15,98544,False,pop
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),"USHER, Lil Jon, Ludacris",85,2004-03-23,250373,False,pop
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Lovin On Me,Jack Harlow,84,2023-11-10,138411,True,pop
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,87,2017-06-09,290616,False,pop
5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,The Time Of Our Lives,Miley Cyrus,78,2009-01-01,202066,False,pop
2prqm9sPLj10B4Wg0wE5x9,BLUE,HIT ME HARD AND SOFT,Billie Eilish,87,2024-05-17,343120,False,pop
73KAidtqbDftZjy8AD0H04,High Road (feat. Jessie Murph),High Road (feat. Jessie Murph),"Koe Wetzel, Jessie Murph",80,2024-06-07,179413,True,pop
0gEyKnHvgkrkBM6fbeHdwK,Linger,"Everybody Else Is Doing It, So Why Can't We?",The Cranberries,84,1993-03-01,274706,False,pop
2kE2HFBFkJ0VMw3igxYohz,Wild Ones (feat. Jelly Roll),Wild Ones (feat. Jelly Roll),"Jessie Murph, Jelly Roll",80,2023-10-06,141367,True,pop
3azJifCSqg9fRij2yKIbWz,The Color Violet,Alone At Prom,Tory Lanez,84,2021-12-10,226466,False,pop
3Rfre3qkrhwdZZ7dyznwbN,Lonely Road (with Jelly Roll),Lonely Road (with Jelly Roll),"mgk, Jelly Roll",81,2024-07-26,189356,False,pop
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,Ctrl,SZA,82,2017-06-09,231253,True,pop
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Dreamland,Glass Animals,87,2020-08-07,238805,False,pop
5h68SoVFGleijCtjEja3xG,365,BRAT,Charli xcx,84,2024-06-07,203618,True,pop
32lSgbCqRcIOyUSnfuUZEQ,Who,MUSE (WANDER ver.),Jimin,89,2024-07-23,170887,False,pop
4E63weMCaNZuGPEFMnuEi8,exes,THINK LATER,Tate McRae,84,2023-12-08,159400,True,pop
3hUxzQpSfdDqwM3ZTFQY0K,august,folklore,Taylor Swift,87,2020-07-24,261922,False,pop
1aXV8GrmQLvgoFtBPERP7E,Jealous,Jealous,Eyedress,84,2019-12-06,122338,False,pop
1yqdD2ScjkqvaNBUzPQ4vR,Who,Who (Remixes),Jimin,89,2024-07-23,170887,False,pop
21jGcNKet2qwijlDFuPiPb,Circles,Hollywood's Bleeding,Post Malone,85,2019-09-06,215280,False,pop
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,TALKING IS HARD,WALK THE MOON,86,2014-12-02,199080,False,pop
1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,"Drake, Wizkid, Kyla",87,2016-05-06,173986,False,pop
5wPnPIZS8wr4lPNLz4qvHK,Who,MUSE (WONDER ver.),Jimin,89,2024-07-23,170887,False,pop
7qTaDOcld0VmBWXnkbUj45,Broadway Girls (feat. Morgan Wallen),7220 (Reloaded),"Lil Durk, Morgan Wallen",79,2022-03-10,185600,False,pop
6TGd66r0nlPaYm3KIoI7ET,THE GREATEST,HIT ME HARD AND SOFT,Billie Eilish,85,2024-05-17,293840,False,pop
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,87,2023-07-13,222369,False,pop
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,Hunting High and Low,a-ha,89,1985-06-01,225280,False,pop
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",Train,86,2010-12-01,216773,False,pop
0UYnhUfnUj5adChuAXvLUB,Sailor Song,Sailor Song,Gigi Perez,82,2024-07-26,211978,False,pop
0Lmbke3KNVFXtoH2mMSHCw,the boy is mine,eternal sunshine,Ariana Grande,86,2024-03-08,173639,True,pop
